"id_encuestado","pais","region","zona","edad","generacion","sexo_biologico","ingreso_anual","importante_trabajo","ocurrio_trabajo","expectativa_trabajo","sentimiento_si_no_trabajo","importante_vivienda_propia","ocurrio_vivienda_propia","expectativa_vivienda_propia","sentimiento_si_no_vivienda_propia","importante_vida_independiente","ocurrio_vida_independiente","expectativa_vida_independiente","sentimiento_si_no_vida_independiente","importante_ser_padre","ocurrio_ser_padre","expectativa_ser_padre","sentimiento_si_no_ser_padre","importante_casarse","ocurrio_casarse","expectativa_casarse","sentimiento_si_no_casarse","importante_mascota","ocurrio_mascota","expectativa_mascota","sentimiento_si_no_mascota","idx_aspiracion_global","idx_expectativa_global","idx_satisfaccion_vida","D1_seguridad_economica","D2_vivienda_independencia","D3_familia_tradicional","D4_presion_social","D5_bienestar_emocional","D6_apertura_alternativas","D7_confianza_futuro","D8_estabilidad_laboral","D9_preocupacion_financiera","D10_apoyo_red_familiar","D11_expectativa_matrimonio","D12_optimismo_personal","D13_control_sobre_futuro","D14_autonomia_estilo_vida"
172,"India","Asia",1,24,"Gen Z",2,2492,"Sí","No","Improbable","Neutral","No","Sí","","","No","No","Incierto","Feliz","No","No","Improbable","Neutral","No","No","Probable","Feliz","No","No","Incierto","Neutral",16.67,0,2.4,3.44,2.31,3.26,4.16,3.32,4.43,1.1,1.2,5.83,3.25,3.69,1.86,1.99,4.3
196,"Suecia","Europa",1,32,"Millennial",1,51462,"Sí","Sí","","","Sí","No","Probable","Neutral","No","No","Improbable","Neutral","No","No","Incierto","Feliz","No","No","Probable","Neutral","No","Sí","","",33.33,100,2.25,3.97,4.77,3.88,4.17,3.6,3.08,3.72,4.46,4.27,5.56,3.88,3.89,4.04,2.36
212,"Suecia","Europa",2,24,"Gen Z",1,45964,"Sí","Sí","","","No","No","Probable","Neutral","Sí","No","Incierto","Neutral","No","No","Improbable","Neutral","Sí","No","Probable","Triste","No","Sí","","",50,50,1.75,4.38,3.78,4.15,5.17,3.88,3.75,3.45,5.45,4.08,4.43,4.69,3.14,4.01,3.52
226,"India","Asia",1,18,"Gen Z",2,2184,"Sí","No","Probable","Triste","No","No","Probable","Triste","Sí","No","Incierto","Triste","No","No","Incierto","Triste","No","No","Probable","Neutral","No","No","Improbable","Triste",33.33,50,1.17,3.64,2.81,3.83,4.54,2.86,3.68,1.54,3.35,4.48,4.75,3.66,2.09,1.92,3.03
232,"Suecia","Europa",1,69,"Baby Boomer",1,91193,"Sí","No","Cierto","Neutral","Sí","No","Probable","Neutral","Sí","Sí","","","Sí","Sí","","","No","Sí","","","Sí","Sí","","",83.33,100,2,5.4,4.47,3.49,3.29,4.19,3.84,4.01,3.57,4.35,2.69,4.77,5.49,4.26,3.78
235,"Suecia","Europa",1,73,"Baby Boomer",1,50265,"Sí","No","Probable","Neutral","Sí","Sí","","","No","Sí","","","No","No","Incierto","Neutral","No","Sí","","","No","No","Probable","Feliz",33.33,100,2.33,3.98,4.5,4.15,4.08,5.02,3.03,4.78,4.9,2.92,4.7,4.04,5.22,3.62,4.43
239,"Suecia","Europa",1,70,"Baby Boomer",2,93218,"Sí","No","Cierto","Feliz","No","Sí","","","No","No","Probable","Feliz","No","Sí","","","No","No","Probable","Neutral","No","Sí","","",16.67,100,2.67,4.16,3.46,4.4,4.57,4.66,3.59,5.37,3.57,4,1.23,4.34,4.96,4.91,5.1
241,"India","Asia",2,28,"Gen Z",1,2697,"No","No","Probable","Triste","Sí","No","Incierto","Triste","No","No","Incierto","Triste","No","No","Improbable","Neutral","No","No","Probable","Triste","No","No","Probable","Triste",16.67,0,1.17,3.79,2.55,4.89,4.6,3.61,2.52,1.65,2.48,4.36,4.16,5.83,2.53,2.39,3.16
247,"India","Asia",1,42,"Millennial",1,4241,"No","No","Incierto","Feliz","Sí","No","Incierto","Triste","No","No","Incierto","Feliz","Sí","Sí","","","No","No","Improbable","Neutral","No","No","Incierto","Neutral",33.33,0,2.2,3.02,3.93,4.61,5.29,2.79,3.5,3.58,3.14,4.69,5.31,4.9,3.12,3.25,2.58
254,"India","Asia",1,60,"Gen X",1,5905,"Sí","Sí","","","No","Sí","","","Sí","Sí","","","No","No","Probable","Triste","No","Sí","","","Sí","Sí","","",50,NA,NA,4.27,4.44,5.74,2.57,4.22,3.37,4.67,4.71,5.04,4.84,3.79,4.63,4.22,3.77
258,"India","Asia",2,37,"Millennial",2,2876,"No","No","Improbable","Neutral","Sí","Sí","","","No","No","Improbable","Triste","No","No","Incierto","Triste","No","No","Improbable","Neutral","No","Sí","","",16.67,NA,1.5,3.63,3.55,4.02,3.54,4.27,4.29,2.81,2.64,6.3,4.13,3.13,3.24,3.4,3.01
259,"Suecia","Europa",1,68,"Baby Boomer",1,114690,"Sí","Sí","","","No","No","Probable","Feliz","Sí","No","Probable","Neutral","Sí","Sí","","","No","Sí","","","No","Sí","","",50,100,2.5,4.46,4.23,3.8,1.61,4.89,4.65,4.74,3.85,3.23,3.99,2.51,5.45,4.38,4.65
262,"India","Asia",1,22,"Gen Z",2,1194,"No","No","Probable","Triste","No","No","Incierto","Triste","No","No","Incierto","Feliz","No","No","Incierto","Triste","No","No","Improbable","Triste","No","No","Improbable","Triste",0,NA,1.33,3.19,2.71,4.05,4.48,3.46,3.97,2.27,4.33,6.63,3.85,3.8,1.76,2.41,2.37
266,"Suecia","Europa",1,49,"Gen X",2,36482,"Sí","Sí","","","Sí","Sí","","","No","Sí","","","Sí","No","Probable","Triste","Sí","Sí","","","No","No","Incierto","Triste",66.67,100,1,4.27,5.82,1.2,1.91,5.29,4.6,5.15,3.88,4.39,2.66,2.33,5.45,5.48,6.04
270,"Suecia","Europa",1,68,"Baby Boomer",2,81477,"Sí","No","Probable","Triste","No","Sí","","","No","Sí","","","No","Sí","","","No","Sí","","","Sí","No","Cierto","Neutral",33.33,100,1.5,5.21,4.89,3.07,3.33,4.77,5.21,4.76,4.67,3.94,4.43,2.62,5.11,4.83,5.18
279,"India","Asia",2,19,"Gen Z",1,2796,"No","No","Improbable","Feliz","Sí","No","Incierto","Feliz","Sí","No","Probable","Triste","No","No","Incierto","Feliz","Sí","No","Probable","Neutral","No","No","Probable","Neutral",50,66.67,2.33,3.54,2.54,4.34,5.63,2.76,3.98,1.72,2.39,3.36,4.81,4.78,1.35,3.57,2.6
290,"India","Asia",1,34,"Millennial",1,4508,"No","No","Cierto","Neutral","Sí","No","Cierto","Feliz","No","No","Cierto","Neutral","No","No","Incierto","Feliz","No","No","Probable","Neutral","No","No","Probable","Feliz",16.67,100,2.5,3.93,4.04,4.11,3.78,4.78,4.28,4.89,5.03,4.13,4.14,3.64,4.04,4.06,4.19
305,"India","Asia",1,49,"Gen X",2,4939,"Sí","No","Probable","Feliz","No","No","Probable","Triste","No","No","Incierto","Triste","No","No","Cierto","Neutral","No","No","Incierto","Feliz","Sí","No","Cierto","Feliz",33.33,100,2.17,2.97,4.1,3.09,3.5,3.97,4.65,4.64,3.2,4.78,3.52,3.04,3.55,4.21,4.08
319,"Suecia","Europa",2,45,"Millennial",1,76422,"Sí","No","Incierto","Triste","Sí","No","Incierto","Neutral","Sí","No","Incierto","Neutral","Sí","No","Cierto","Feliz","Sí","No","Probable","Neutral","No","Sí","","",83.33,40,2,4.86,5.37,4.36,4.58,4.44,2.48,5.27,5.85,4.73,3.34,3.59,3.69,4.16,4.23
331,"Suecia","Europa",1,60,"Gen X",1,72964,"Sí","Sí","","","No","No","Cierto","Feliz","No","Sí","","","Sí","Sí","","","Sí","No","Probable","Triste","Sí","Sí","","",66.67,100,2,5.72,5.25,2.46,3.01,4.51,3.47,5.36,4.6,4.02,3.97,3.28,4.56,4.51,4.56
342,"India","Asia",2,62,"Baby Boomer",2,1950,"No","No","Improbable","Triste","Sí","No","Improbable","Feliz","No","Sí","","","No","No","Cierto","Neutral","No","No","Incierto","Feliz","No","Sí","","",16.67,0,2.25,3.27,3.62,3.96,4.42,4.16,3.69,2.91,2.78,4.94,3.27,4.03,3.68,3.79,3.97
344,"Suecia","Europa",1,28,"Gen Z",2,40899,"No","No","Probable","Triste","Sí","No","Incierto","Triste","No","Sí","","","No","No","Cierto","Feliz","No","Sí","","","Sí","No","Incierto","Neutral",33.33,0,1.75,3.48,2.82,3.35,3.24,3.22,4.11,3.03,3.87,3.67,4.78,3.29,3.65,3.77,5.04
349,"India","Asia",2,26,"Gen Z",2,2416,"No","Sí","","","Sí","No","Probable","Triste","Sí","No","Incierto","Feliz","No","No","Improbable","Triste","No","No","Probable","Triste","No","No","Incierto","Triste",33.33,50,1.4,3.23,1.51,3.69,4.24,3.3,4.1,1.05,4.23,5.64,4.62,4.32,1.27,2.02,3.21
353,"Suecia","Europa",1,39,"Millennial",2,32543,"Sí","No","Incierto","Neutral","No","No","Improbable","Triste","No","No","Probable","Neutral","Sí","No","Cierto","Triste","No","No","Probable","Triste","No","Sí","","",33.33,50,1.4,4.16,3.45,3.76,3.71,4.16,3.56,2.72,4.11,4.89,3.72,4,2.84,4.05,4.23
354,"Suecia","Europa",1,29,"Gen Z",2,57027,"Sí","No","Incierto","Feliz","Sí","No","Probable","Neutral","No","No","Probable","Triste","No","No","Probable","Feliz","Sí","No","Incierto","Triste","No","Sí","","",50,33.33,2,4.61,5.15,3.28,4.78,3.18,5.2,3.51,5.97,2.26,2.92,3.44,4.6,3.22,4.51
368,"Suecia","Europa",1,29,"Gen Z",2,33197,"Sí","No","Probable","Triste","Sí","Sí","","","Sí","No","Incierto","Triste","Sí","No","Incierto","Neutral","No","No","Improbable","Neutral","No","No","Cierto","Neutral",66.67,33.33,1.6,5.07,3.72,2.19,3.85,3.62,4.4,2.85,5.39,3.26,3.59,2.84,1.85,2.81,4.12
376,"Suecia","Europa",1,68,"Baby Boomer",1,94395,"Sí","Sí","","","Sí","Sí","","","Sí","Sí","","","No","Sí","","","Sí","Sí","","","No","Sí","","",66.67,NA,NA,4.78,3.81,4.37,4.7,5.03,4.08,3.89,3.86,4.32,4.14,3.35,5.42,5.54,3.98
378,"India","Asia",1,73,"Baby Boomer",1,6502,"No","Sí","","","Sí","No","Probable","Neutral","No","No","Incierto","Feliz","Sí","No","Cierto","Feliz","No","No","Probable","Feliz","No","No","Cierto","Neutral",33.33,100,2.6,3.39,3.88,3.53,2.54,4.01,4.98,3.27,4.85,3.78,3.47,3.38,5.07,3.24,4.47
380,"India","Asia",1,58,"Gen X",1,NA,"No","No","Probable","Neutral","Sí","No","Incierto","Triste","Sí","No","Probable","Feliz","No","No","Probable","Feliz","No","No","Cierto","Triste","No","Sí","","",33.33,50,NA,3.87,3.85,4.18,3.9,4.04,3.72,2.65,2.65,4.45,3.84,4.38,4.23,3.05,3.01
388,"India","Asia",1,26,"Gen Z",1,3194,"No","No","Improbable","Triste","No","No","Improbable","Neutral","Sí","No","Incierto","Triste","No","No","Incierto","Feliz","No","No","Probable","Neutral","No","No","Incierto","Neutral",16.67,0,1.83,3.19,3.01,3.9,4.5,3.81,3.88,2.23,2.9,4.31,4.66,3.89,3,3.21,3.77
398,"India","Asia",2,55,"Gen X",2,3164,"No","Sí","","","No","No","Probable","Triste","No","Sí","","","Sí","Sí","","","No","No","Incierto","Neutral","Sí","No","Incierto","Neutral",33.33,0,1.67,2.68,3.43,5.17,3.7,5.18,4.82,3.16,3.81,6.12,4.41,4.37,3.68,3.22,4.12
399,"Suecia","Europa",2,54,"Gen X",2,49092,"Sí","No","Cierto","Feliz","Sí","No","Incierto","Triste","No","Sí","","","No","Sí","","","Sí","No","Improbable","Neutral","Sí","Sí","","",66.67,33.33,2,3.17,4.58,2.81,2.84,4.69,5.22,3.79,4.47,3.7,3.18,2,4.54,4.28,4.51
404,"India","Asia",2,60,"Gen X",1,7747,"No","Sí","","","Sí","Sí","","","No","Sí","","","No","No","Incierto","Neutral","Sí","No","Cierto","Neutral","No","No","Probable","Feliz",33.33,100,2.33,3.29,4.15,4.38,4.96,4.46,2.79,3.54,3.21,3.58,3.63,4.16,2.96,4.11,2.65
407,"India","Asia",1,59,"Gen X",2,3086,"Sí","Sí","","","Sí","No","Probable","Feliz","No","Sí","","","No","No","Cierto","Feliz","Sí","Sí","","","No","No","Improbable","Feliz",50,100,3,3.3,4.27,3.31,3.22,4.35,4.94,3.53,3.21,5.22,3.86,2.09,4.43,4.09,5.5
419,"Suecia","Europa",1,25,"Gen Z",2,71269,"Sí","Sí","","","Sí","No","Incierto","Triste","Sí","No","Probable","Triste","No","No","Incierto","Triste","Sí","No","Improbable","Feliz","No","Sí","","",66.67,33.33,1.5,3.9,3.94,3.07,3.21,3.77,5.53,3.28,3.72,3.82,3.14,2.52,3.28,4.24,4.19
425,"Suecia","Europa",1,73,"Baby Boomer",2,74839,"No","No","Incierto","Triste","No","No","Cierto","Feliz","No","No","Improbable","Neutral","Sí","No","Incierto","Neutral","No","No","Probable","Feliz","No","No","Incierto","Neutral",16.67,0,2.17,4.3,5.05,3.46,4.08,3.9,4.46,5.17,3.35,4,2.72,3.24,4.36,5.68,5.02
